,Log_21052021_194804.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
10,21/05/2021 19:48:04,0.04,0,0,27.63333,75.025,30.63334,66.80833
11,21/05/2021 19:49:04,0.04,0,0,27.85454,74.31818,30.59091,66.79091
12,21/05/2021 19:50:04,0.04,0,0,28.05834,74.19167,30.60834,66.83333
13,21/05/2021 19:51:04,0.04,0,0,28.16667,73.13334,30.59167,66.28333
14,21/05/2021 19:52:04,0.04,0,0,28.275,72.50833,30.50833,66.2
15,21/05/2021 19:53:04,2.816667,580.7167,0.01,28.29167,72.08334,30.51667,66.35
16,21/05/2021 19:54:04,4.050909,855.4727,0.023,27.92727,70.83636,30.51818,66.68182
17,21/05/2021 19:55:04,4.175,881.7833,0.039,27.06667,68.16667,30.60834,67.1
18,21/05/2021 19:56:04,4.233333,894.5916,0.054,26.2,65.225,30.6,67.33333
19,21/05/2021 19:57:04,4.1975,885.9667,0.07,25.525,62.95833,30.6,67.45834
20,21/05/2021 19:58:04,3.911667,826.6667,0.084,25.00833,61.24167,30.625,67.50833
21,21/05/2021 19:59:04,3.813334,806.1667,0.098,24.63333,59.725,30.61667,67.44166
22,21/05/2021 20:00:04,3.641818,770.7727,0.11,24.29091,58.7,30.53637,67.42727
23,21/05/2021 20:01:04,3.5775,758.5334,0.123,24.075,58.225,30.58334,67.24166
24,21/05/2021 20:02:04,3.585833,759.2583,0.137,23.875,57.9,30.575,67.25
25,21/05/2021 20:03:04,3.535,747.8917,0.15,23.79167,57.71667,30.56667,67.45
26,21/05/2021 20:04:04,3.5275,746.3333,0.162,23.70833,57.64167,30.6,67.29167
27,21/05/2021 20:05:04,3.536666,751.575,0.175,23.625,57.85,30.575,67.36667
28,21/05/2021 20:06:04,3.553636,756.5364,0.187,23.67273,58.21819,30.6,67.23636
29,21/05/2021 20:07:04,3.5825,760.5084,0.2,23.71667,58.83333,30.59167,66.94999
30,21/05/2021 20:08:04,3.626666,770.6417,0.214,23.79167,59.20834,30.60834,66.91666
31,21/05/2021 20:09:04,3.6925,783.9583,0.227,23.775,59.18333,30.64167,67.15833
32,21/05/2021 20:10:04,3.6575,777.2583,0.24,23.7,58.93333,30.60834,67.16666
33,21/05/2021 20:11:04,3.773333,799.8416,0.254,23.575,58.90833,30.56667,67.09167
34,21/05/2021 20:12:04,3.841818,813.5183,0.267,23.53637,58.89091,30.56364,66.93636
35,21/05/2021 20:13:04,3.845834,814.4417,0.281,23.5,59.00833,30.50833,67.12499
36,21/05/2021 20:14:04,3.934167,834.5168,0.295,23.51667,59.1,30.51667,67.12499
37,21/05/2021 20:15:04,3.965,841.975,0.31,23.575,59.40833,30.49167,66.91666
38,21/05/2021 20:16:04,3.936667,833.4,0.324,23.54167,59.44999,30.43333,67.1
39,21/05/2021 20:17:04,4.031666,854.725,0.339,23.43333,59.06667,30.40833,66.89166
40,21/05/2021 20:18:04,4.118181,872.6545,0.352,23.3,58.83636,30.37272,66.67272
41,21/05/2021 20:19:04,3.914166,829.9167,0.367,23.15833,58.39166,30.30833,66.8
42,21/05/2021 20:20:04,3.9175,831.0166,0.381,23.10834,58.75834,30.30833,67.04166
43,21/05/2021 20:21:04,3.914166,829.4084,0.395,23.04167,58.58333,30.29166,66.88333
44,21/05/2021 20:22:04,3.9025,825.6584,0.409,22.95833,58.53334,30.29167,66.925
45,21/05/2021 20:23:04,3.798333,804.1833,0.423,22.8,58.10834,30.25833,66.91666
46,21/05/2021 20:24:04,3.763636,799.0364,0.435,22.76364,58.34546,30.24545,66.8
47,21/05/2021 20:25:04,3.755833,798.5417,0.449,22.8,58.51667,30.23334,66.84167
48,21/05/2021 20:26:04,2.886667,596.575,0.46,22.81667,58.53334,30.19167,66.89999
49,21/05/2021 20:27:04,2.120833,303.5083,0.465,22.90833,59.14166,30.2,67.09166
50,21/05/2021 20:28:04,2.115,348.8,0.471,23.06667,60.04167,30.18334,66.74999
51,21/05/2021 20:29:04,1.796667,381.7,0.477,23.2,60.95833,30.18334,66.44167
52,21/05/2021 20:30:04,1.808182,381.2636,0.483,23.34545,61.81818,30.2,66.37273
53,21/05/2021 20:31:04,2.125833,445.525,0.491,23.51667,62.53333,30.09167,66.19166
54,21/05/2021 20:32:04,2.31,483.7749,0.499,23.64167,62.89166,30.1,66.12499
55,21/05/2021 20:33:04,2.310833,484.6667,0.507,23.68333,62.81667,30.05833,66.40833
56,21/05/2021 20:34:04,2.325,484.05,0.516,23.68333,62.81667,30.01667,66.49999
57,21/05/2021 20:35:04,2.345,482.425,0.524,23.61667,62.34167,29.99166,66.45833
58,21/05/2021 20:36:04,2.357273,485.0091,0.532,23.6,62.39091,29.98182,66.61818
59,21/05/2021 20:37:04,2.355,484.1917,0.54,23.64167,62.625,29.95833,66.91666
