,Log_21052021_195425.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
67,21/05/2021 21:01:25,2.943334,637.45,0.664,25.575,57.02501,32.44166,57.25
68,21/05/2021 21:02:25,2.969167,640.275,0.675,25.53333,57.09167,32.40833,57.18333
69,21/05/2021 21:03:25,2.9375,633.775,0.685,25.51667,57.03333,32.39166,57.33333
70,21/05/2021 21:04:25,2.935833,633.7167,0.696,25.46667,57.10833,32.38333,57.325
71,21/05/2021 21:05:25,2.929091,632.7,0.706,25.4,57.11819,32.38182,57.45454
72,21/05/2021 21:06:25,2.915,629.8583,0.717,25.31667,57.05,32.35833,57.35834
73,21/05/2021 21:07:25,2.931667,634.65,0.727,25.23333,57.18333,32.31666,57.33333
74,21/05/2021 21:08:25,2.925,634.8834,0.738,25.2,57.1,32.3,57.36667
75,21/05/2021 21:09:25,2.92,631.6583,0.749,25.15,57.125,32.26667,57.47499
76,21/05/2021 21:10:25,2.931667,632.6166,0.76,25.06667,57.175,32.24167,57.55833
77,21/05/2021 21:11:25,2.931818,633.2727,0.77,25.01818,57.26363,32.20909,57.63636
78,21/05/2021 21:12:25,2.929167,633.5833,0.78,24.99167,57.225,32.2,57.48333
79,21/05/2021 21:13:25,2.9525,639.3,0.791,24.975,57.38334,32.15834,57.63333
80,21/05/2021 21:14:25,2.896667,629.8751,0.802,24.91666,57.59167,32.125,57.65834
81,21/05/2021 21:15:25,0,2.983333,0.802,25,58.91667,32.11667,57.66667
