,Log_21052021_214317.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
1,21/05/2021 21:44:17,0,2.945455,0,25.95455,81.89091,27.63637,70.28181
2,21/05/2021 21:45:17,0,2.946154,0,25.93077,81.6077,27.64616,69.97692
3,21/05/2021 21:46:17,0,2.961539,0,25.99231,81.53077,27.66154,70
4,21/05/2021 21:47:17,0,2.933333,0,25.99167,81.25834,27.65,69.65
5,21/05/2021 21:48:17,0,2.95,0,26.00833,80.93333,27.64167,69.76666
6,21/05/2021 21:49:17,0,2.95,0,26.03333,80.98333,27.63334,69.88334
7,21/05/2021 21:50:17,0,2.927273,0,26.08182,80.77273,27.69091,69.76364
8,21/05/2021 21:51:17,0,2.941667,0,26.09167,80.41666,27.675,69.76667
9,21/05/2021 21:52:17,0.96,200,0.003,26.1,80.41666,27.69167,69.86666
10,21/05/2021 21:53:17,2.359167,506.175,0.011,26.1,80.23333,27.7,69.625
11,21/05/2021 21:54:17,2.5225,544.2583,0.02,26.075,79.75834,27.69167,69.68334
12,21/05/2021 21:55:17,2.608182,561.6636,0.029,25.95454,78.78181,27.68182,69.55455
13,21/05/2021 21:56:17,2.660833,573.1334,0.039,25.80833,77.675,27.68333,69.75001
14,21/05/2021 21:57:17,2.685834,578.7667,0.049,25.625,76,27.7,69.69167
15,21/05/2021 21:58:17,2.6975,580.9333,0.059,25.41666,74.01667,27.70833,69.85833
16,21/05/2021 21:59:17,2.703333,583.2083,0.068,25.26667,72.38333,27.71667,69.85834
17,21/05/2021 22:00:17,2.723333,587.575,0.078,25.075,70.925,27.70833,69.80834
18,21/05/2021 22:01:17,2.739091,590.2727,0.088,24.95454,69.70909,27.71818,69.71819
19,21/05/2021 22:02:17,2.753333,593.0751,0.098,24.85833,68.78334,27.74167,69.58334
20,21/05/2021 22:03:17,2.768333,596.1584,0.108,24.75833,68.1,27.74167,69.75001
21,21/05/2021 22:04:17,2.766667,596.3917,0.118,24.63334,67.3,27.75,69.61667
22,21/05/2021 22:05:17,2.776667,599.2667,0.128,24.575,66.625,27.76667,69.55833
23,21/05/2021 22:06:17,2.773334,598.8334,0.138,24.48333,66.05833,27.79166,69.62501
24,21/05/2021 22:07:17,2.788182,602.4091,0.147,24.40909,65.85455,27.79091,69.61818
25,21/05/2021 22:08:17,2.799999,605.3834,0.158,24.35833,65.4,27.81666,69.46667
26,21/05/2021 22:09:17,2.796666,603.975,0.168,24.3,64.95833,27.79166,69.50001
27,21/05/2021 22:10:17,2.8,604.925,0.178,24.275,64.625,27.80833,69.46667
28,21/05/2021 22:11:17,2.801666,609.1417,0.189,24.20833,64.26667,27.83333,69.49167
29,21/05/2021 22:12:17,2.79,610.7,0.198,24.10909,64.15454,27.83636,69.70908
30,21/05/2021 22:13:17,2.7925,612.3583,0.208,24.00833,63.95833,27.84166,69.5
31,21/05/2021 22:14:17,2.794167,611.6917,0.219,23.99167,63.85001,27.875,69.29166
32,21/05/2021 22:15:17,2.8,609.55,0.229,23.94166,63.625,27.88333,69.34167
33,21/05/2021 22:16:17,2.798333,611.3666,0.24,23.90833,63.45,27.93333,69.425
34,21/05/2021 22:17:17,2.819166,610.4917,0.25,23.88333,63.11666,27.90833,69.425
35,21/05/2021 22:18:17,2.823636,611.1545,0.259,23.8,63.03636,27.92727,69.17273
36,21/05/2021 22:19:17,2.823334,612.4083,0.27,23.725,62.85833,27.96667,69.225
37,21/05/2021 22:20:17,2.823333,612.4583,0.28,23.7,62.8,27.95,69.225
38,21/05/2021 22:21:17,2.815,609.2499,0.29,23.675,62.68333,27.975,69.025
39,21/05/2021 22:22:17,2.808333,608.3334,0.301,23.61667,62.85833,28.00833,69.15833
40,21/05/2021 22:23:17,2.808333,608.8,0.311,23.575,62.79166,28.01667,69.01668
41,21/05/2021 22:24:17,2.822727,610.7454,0.321,23.53637,62.71819,28.02728,68.80909
42,21/05/2021 22:25:17,2.830833,612.7333,0.331,23.525,62.69166,28.05833,68.88334
43,21/05/2021 22:26:17,2.823333,609.5084,0.341,23.5,62.66667,28.09167,68.90833
44,21/05/2021 22:27:17,2.813333,606.7166,0.352,23.5,62.66667,28.08334,68.84167
45,21/05/2021 22:28:17,2.826667,610.55,0.362,23.45833,62.58333,28.10834,68.69999
46,21/05/2021 22:29:17,2.830833,611.675,0.372,23.43333,62.425,28.10834,68.56667
47,21/05/2021 22:30:17,2.840909,614.4182,0.382,23.39091,62.39091,28.10909,68.59091
48,21/05/2021 22:31:17,2.831667,613.5167,0.392,23.35,62.5,28.10834,68.49999
49,21/05/2021 22:32:17,2.825833,611.4417,0.403,23.30833,62.70833,28.13334,68.425
50,21/05/2021 22:33:17,2.820833,609.5834,0.413,23.3,63.19166,28.175,68.45
