,Log_22052021_012648.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
1,22/05/2021 01:27:48,0,0,0,27.64167,73.975,28.58334,67.59167
2,22/05/2021 01:28:48,0,0,0,27.71667,73.56666,28.70833,67.6
3,22/05/2021 01:29:48,0,0,0,27.79167,72.925,28.74166,67.2
4,22/05/2021 01:30:48,1.173333,255.5833,0.004,27.86666,72.71667,28.79166,66.98334
5,22/05/2021 01:31:48,2.740833,598.525,0.014,27.89166,72.18334,28.85,66.84167
6,22/05/2021 01:32:48,2.742727,598.0909,0.023,27.82727,71.21818,28.88182,66.82726
7,22/05/2021 01:33:48,2.784167,607.8417,0.034,27.66667,69.65,28.90833,66.50833
8,22/05/2021 01:34:48,2.8075,612.1917,0.044,27.55833,68.05,28.91666,66.30833
9,22/05/2021 01:35:48,2.835833,619.15,0.054,27.49167,66.76666,28.98333,66.33333
10,22/05/2021 01:36:48,2.8425,620.5917,0.065,27.41666,65.52501,28.99167,66.16666
11,22/05/2021 01:37:48,2.854167,623.6166,0.075,27.325,64.1,28.99167,66.01665
12,22/05/2021 01:38:48,2.888182,630.4818,0.085,27.22727,63.22728,29.00909,65.82727
13,22/05/2021 01:39:48,2.900833,632.0084,0.096,27.20833,63.19166,29.08334,65.70834
14,22/05/2021 01:40:48,2.9075,633.225,0.107,27.16667,62.95,29.06667,65.74166
15,22/05/2021 01:41:48,2.910833,633.6417,0.117,27.05,62.23334,29.11667,65.66666
16,22/05/2021 01:42:48,2.93,637.6251,0.128,26.925,61.6,29.125,65.63333
17,22/05/2021 01:43:48,2.928182,637.6454,0.138,26.83636,61.03636,29.14546,65.40909
18,22/05/2021 01:44:48,2.938333,640.0667,0.149,26.75834,60.73334,29.19167,65.43333
19,22/05/2021 01:45:48,0.16,24.2,0.15,26.69167,60.33334,29.19167,65.425
20,22/05/2021 01:46:48,0.16,24.21667,0.15,26.66667,61.425,29.225,65.19167
21,22/05/2021 01:47:48,0.16,24.05834,0.151,26.73333,63.35833,29.25833,65.05
22,22/05/2021 01:48:48,2.924166,637.475,0.161,26.86666,65.40833,29.3,65.44166
23,22/05/2021 01:49:48,2.959091,644.3546,0.171,26.9,65.73637,29.3,65
24,22/05/2021 01:50:48,2.9425,640.1667,0.182,26.9,65.19167,29.35,64.83334
25,22/05/2021 01:51:48,2.941667,640.2667,0.193,26.81667,64.25,29.35,64.85
26,22/05/2021 01:52:48,2.940833,639.9333,0.204,26.775,63.05001,29.375,64.64167
27,22/05/2021 01:53:48,2.250834,487.125,0.213,26.64167,62.075,29.40833,64.63334
28,22/05/2021 01:54:48,0.1533333,23.9,0.213,26.6,61.58333,29.41666,64.58334
29,22/05/2021 01:55:48,0.1554545,23.98182,0.213,26.60909,62.63637,29.48182,64.32728
30,22/05/2021 01:56:48,0.5616667,114.0083,0.215,26.69167,64.29166,29.49167,64.16666
31,22/05/2021 01:57:48,2.991667,650.8083,0.226,26.79167,65.925,29.51667,64.15834
32,22/05/2021 01:58:48,2.954166,642.6083,0.237,26.81666,66.06667,29.51667,64.20834
33,22/05/2021 01:59:48,2.95,641.6667,0.248,26.79167,65.19167,29.54167,64.1
34,22/05/2021 02:00:48,2.955,643.2,0.259,26.74167,63.90834,29.575,63.96667
35,22/05/2021 02:01:48,2.955455,645.2182,0.269,26.64545,62.80909,29.58182,64.04546
36,22/05/2021 02:02:48,0.8533331,178.9083,0.272,26.55833,61.76667,29.6,63.7
37,22/05/2021 02:03:48,0.15,23.8,0.273,26.51667,62.25,29.65,63.86667
38,22/05/2021 02:04:48,0.15,23.76666,0.273,26.6,63.775,29.68333,63.67501
39,22/05/2021 02:05:48,2.259166,488.5334,0.281,26.71666,65.56667,29.75,63.675
40,22/05/2021 02:06:48,2.973636,646.3818,0.291,26.8,66.16364,29.78182,63.58182
41,22/05/2021 02:07:48,2.97,646.5084,0.302,26.79166,65.62501,29.78333,63.60001
42,22/05/2021 02:08:48,2.969167,646.5667,0.313,26.71667,64.6,29.825,63.46667
43,22/05/2021 02:09:48,2.961667,645.3167,0.324,26.65833,63.45,29.80833,63.31667
44,22/05/2021 02:10:48,2.963333,645.9083,0.335,26.58334,62.40834,29.86666,63.46667
45,22/05/2021 02:11:48,2.9625,645.1334,0.346,26.5,61.71667,29.84167,63.43333
46,22/05/2021 02:12:48,2.964545,645.8636,0.356,26.48182,61.08182,29.89091,63.31819
47,22/05/2021 02:13:48,0.1508333,23.98333,0.357,26.41666,60.73333,29.89166,63.125
48,22/05/2021 02:14:48,0.15,23.875,0.357,26.43333,61.61667,29.91666,63.09167
49,22/05/2021 02:15:48,0.2825,48.16667,0.357,26.53333,63.45834,29.90833,62.91667
50,22/05/2021 02:16:48,2.989167,652.6499,0.369,26.64167,65.325,29.95833,63.15001
