,Log_21052021_141930.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
1,21/05/2021 14:20:30,0,0,0,27.79091,76.76363,29.07273,67.05454
2,21/05/2021 14:21:30,0,0,0,27.86666,76.36667,29.15,66.8
3,21/05/2021 14:22:30,0.0025,2.166667,0,27.95833,76.20834,29.20833,66.55
4,21/05/2021 14:23:30,0.9400001,205.925,0.003,28,76.15,29.275,66.28333
5,21/05/2021 14:24:30,2.485,542.2083,0.012,28.01667,75.90833,29.3,66.04167
6,21/05/2021 14:25:30,2.687273,588.6,0.021,27.98182,75.40001,29.30909,65.87273
7,21/05/2021 14:26:30,2.810833,607.0667,0.031,27.8,74.36666,29.31666,65.75833
8,21/05/2021 14:27:30,1.080833,231.3083,0.035,27.68333,72.35833,29.41666,65.50834
9,21/05/2021 14:28:30,0.1841667,37.475,0.036,27.55,70.79166,29.39166,65.43333
10,21/05/2021 14:29:30,0.185,37.525,0.037,27.51667,70.69167,29.41666,65.28333
11,21/05/2021 14:30:30,0.1866667,37.6,0.037,27.51667,71.00001,29.44167,65.04166
12,21/05/2021 14:31:30,0.1818182,37.48182,0.038,27.59091,71.76364,29.49091,65.09091
13,21/05/2021 14:32:30,2.466667,527.3333,0.046,27.6,72.35833,29.48333,65.1
14,21/05/2021 14:33:30,2.934167,637.625,0.057,27.56667,72.175,29.46667,64.99167
15,21/05/2021 14:34:30,0.1816667,37.65,0.058,27.44166,70.775,29.49167,65.00834
16,21/05/2021 14:35:30,0.18,37.49167,0.059,27.35833,69.89167,29.53333,64.75834
17,21/05/2021 14:36:30,0.18,37.425,0.059,27.375,70.05833,29.53333,64.8
18,21/05/2021 14:37:30,0.18,37.45454,0.06,27.39091,70.53636,29.55455,64.61818
19,21/05/2021 14:38:30,0.18,37.58333,0.06,27.41666,71.45,29.575,64.86666
20,21/05/2021 14:39:30,1.063333,222.4667,0.064,27.48333,72.25001,29.575,64.78333
21,21/05/2021 14:40:30,2.959167,640.0167,0.075,27.48333,72.55,29.575,64.60001
22,21/05/2021 14:41:30,1.343334,289.175,0.08,27.4,71.60833,29.61667,64.56667
23,21/05/2021 14:42:30,0.18,37.56667,0.081,27.3,70.45,29.6,64.41666
24,21/05/2021 14:43:30,0.18,37.65454,0.081,27.26364,70.16363,29.65455,64.60001
25,21/05/2021 14:44:30,0.18,37.6,0.082,27.29167,70.44167,29.66667,64.37501
26,21/05/2021 14:45:30,0.18,37.46667,0.082,27.30833,71.25833,29.68334,64.53333
27,21/05/2021 14:46:30,0.18,37.6,0.083,27.375,71.825,29.7,64.325
28,21/05/2021 14:47:30,1.775,379.5583,0.089,27.425,72.75834,29.8,64.39167
29,21/05/2021 14:48:30,3.020909,648.3273,0.1,27.4,72.78181,29.79091,64.35455
30,21/05/2021 14:49:30,0.6524999,139.3,0.102,27.3,71.28333,29.76666,64.16666
31,21/05/2021 14:50:30,0.18,37.55833,0.102,27.19167,70.375,29.8,64.325
32,21/05/2021 14:51:30,0.18,37.69167,0.103,27.2,70.48333,29.81666,64.14167
33,21/05/2021 14:52:30,0.18,37.65,0.104,27.21667,71.05833,29.825,64.14167
34,21/05/2021 14:53:30,0.18,37.775,0.104,27.275,71.63333,29.84167,64.18333
35,21/05/2021 14:54:30,0.18,37.73636,0.105,27.34545,72.37273,29.85454,64.3
36,21/05/2021 14:55:30,2.023333,435.5417,0.112,27.4,72.975,29.86666,63.96667
37,21/05/2021 14:56:30,2.7925,602.3083,0.123,27.35833,72.9,29.9,64.06667
38,21/05/2021 14:57:30,0.18,37.65001,0.124,27.26667,71.55834,29.89166,64.11668
39,21/05/2021 14:58:30,0.18,37.8,0.124,27.175,70.61667,29.9,64.13334
40,21/05/2021 14:59:30,0.18,37.84167,0.125,27.16667,70.66666,29.9,63.96667
41,21/05/2021 15:00:30,0.18,37.77273,0.125,27.2,71.27274,29.91818,63.87274
42,21/05/2021 15:01:30,0.18,37.66667,0.126,27.25,71.86666,29.93333,63.88334
43,21/05/2021 15:02:30,0.8166667,168.125,0.128,27.29167,72.66666,29.94167,64.05833
44,21/05/2021 15:03:30,3.076667,662.0333,0.14,27.35,73.08334,29.95,63.8
45,21/05/2021 15:04:30,1.5325,329.9167,0.145,27.25834,72.06667,29.95,63.84167
46,21/05/2021 15:05:30,0.18,37.725,0.146,27.16667,70.83334,29.93333,63.84167
47,21/05/2021 15:06:30,0.18,37.60909,0.147,27.17273,70.53637,29.99091,63.80909
48,21/05/2021 15:07:30,0.18,37.54167,0.147,27.175,70.73333,29.975,63.86667
49,21/05/2021 15:08:30,0.18,37.59167,0.148,27.19167,71.375,30.01667,63.76667
50,21/05/2021 15:09:30,0.18,37.71666,0.148,27.23333,72.19167,30,63.85833
