,Log_22052021_011415.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
1,22/05/2021 01:15:15,0,0,0,27.075,74.81667,28.9,72.35
2,22/05/2021 01:16:16,0,0,0,27.23333,74.425,28.95833,71.98334
3,22/05/2021 01:17:15,0.1383333,17.55,0,27.325,74.05,28.99167,71.61666
4,22/05/2021 01:18:16,2.98,622.3667,0.01,27.39166,73.62501,29.08334,71.23334
5,22/05/2021 01:19:16,3.140909,665.9091,0.021,27.26364,72.77273,29.19091,71.61819
6,22/05/2021 01:20:16,3.259167,691.2,0.032,26.91666,70.83334,29.275,71.16667
7,22/05/2021 01:21:16,3.315833,703.1917,0.045,26.44166,68.49167,29.35,71.16668
8,22/05/2021 01:22:16,3.359167,712.2499,0.057,25.975,66.15,29.48334,70.73334
9,22/05/2021 01:23:16,3.350833,711.0833,0.069,25.475,63.66667,29.575,70.45
10,22/05/2021 01:24:16,3.341666,710.0083,0.082,25.09167,61.76666,29.625,69.91666
11,22/05/2021 01:25:16,3.366364,714.5546,0.093,24.73636,60.43636,29.59091,69.54546
12,22/05/2021 01:26:16,3.3775,714.975,0.105,24.43333,59.75,29.6,69.36666
13,22/05/2021 01:27:16,3.394167,718.4333,0.118,24.19167,59.16667,29.58334,69.10834
14,22/05/2021 01:28:16,3.391667,717.1084,0.13,24.06667,58.775,29.60834,68.74167
15,22/05/2021 01:29:16,3.411667,721.375,0.142,23.925,58.7,29.63334,68.89166
16,22/05/2021 01:30:16,3.405,720.05,0.155,23.85833,58.725,29.66667,68.71667
17,22/05/2021 01:31:16,3.389091,716.8364,0.166,23.76364,58.28182,29.78182,68.46364
18,22/05/2021 01:32:16,3.358333,713.5167,0.179,23.55,57.65834,29.825,68.34167
19,22/05/2021 01:33:16,2.241667,392.7083,0.185,23.36666,57.68333,29.80833,68.19167
20,22/05/2021 01:34:16,2.048333,295.1833,0.19,23.375,58.50834,29.74167,67.88333
21,22/05/2021 01:35:16,2.040833,293.125,0.196,23.51667,59.74166,29.68333,67.81667
22,22/05/2021 01:36:16,2.4125,333.05,0.201,23.66667,60.775,29.7,67.84167
23,22/05/2021 01:37:16,2.75,374.9818,0.207,23.75455,61.9,29.65455,67.94545
24,22/05/2021 01:38:16,2.739166,374.0916,0.214,23.81667,62.59167,29.61667,67.85833
25,22/05/2021 01:39:16,2.390833,331.2583,0.219,23.91666,63.05,29.55,67.825
26,22/05/2021 01:40:16,2.044167,290.0916,0.224,23.99167,63.425,29.53333,68.01667
27,22/05/2021 01:41:16,2.028333,288.5583,0.229,24.05,63.79166,29.51667,67.95833
28,22/05/2021 01:42:16,2.010834,288.075,0.234,24.125,64.325,29.49167,67.98334
29,22/05/2021 01:43:16,2.595455,358.1364,0.24,24.22727,64.83636,29.49091,68.16363
30,22/05/2021 01:44:16,2.711666,370.1416,0.246,24.29167,65.05833,29.48333,68.025
31,22/05/2021 01:45:16,2.718333,369.7417,0.253,24.30833,64.94166,29.45833,68.1
32,22/05/2021 01:46:16,2.706667,368.55,0.259,24.29167,64.8,29.45833,67.9
33,22/05/2021 01:47:16,2.695,367.1167,0.265,24.24167,64.48334,29.4,68.18334
34,22/05/2021 01:48:16,2.046667,290.575,0.27,24.21667,64.16666,29.4,68.23333
35,22/05/2021 01:49:16,2.038182,289.0454,0.275,24.19091,64.1,29.46364,68.15454
36,22/05/2021 01:50:16,2.026667,288.5417,0.28,24.25833,64.50833,29.49167,68.34167
37,22/05/2021 01:51:16,2.013334,286.5083,0.285,24.28333,64.74166,29.44167,68.33332
38,22/05/2021 01:52:16,2.031667,287.3417,0.29,24.28333,64.93333,29.43333,68.3
39,22/05/2021 01:53:16,2.054167,289.7917,0.295,24.31667,65.28333,29.40833,68.375
40,22/05/2021 01:54:16,2.046667,289.1667,0.3,24.36667,65.475,29.41666,68.475
41,22/05/2021 01:55:16,2.033637,287.6273,0.304,24.44545,65.54546,29.48182,68.58182
42,22/05/2021 01:56:16,2.036667,288.05,0.309,24.45833,65.425,29.45833,68.28333
43,22/05/2021 01:57:16,2.05,290.2,0.314,24.46667,65.43333,29.45,68.18333
44,22/05/2021 01:58:16,2.045,289.1167,0.319,24.54167,65.50001,29.46667,68.27499
45,22/05/2021 01:59:16,2.033334,288.075,0.324,24.55,65.50834,29.44167,68.04166
46,22/05/2021 02:00:16,2.016667,287.925,0.329,24.6,65.60834,29.45,67.94166
47,22/05/2021 02:01:16,2.022727,288.5454,0.334,24.6,65.69091,29.44545,68.10909
48,22/05/2021 02:02:16,2.023334,289.1917,0.339,24.65,65.74167,29.45,68.25832
49,22/05/2021 02:03:16,2.04,289.575,0.344,24.63334,65.66666,29.475,68.39999
50,22/05/2021 02:04:16,2.026667,287.6333,0.349,24.64167,65.73333,29.475,68.27501
