,Log_21052021_213334.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
58,21/05/2021 22:31:34,3.1875,669.4916,0.569,19.58333,64.80833,27.125,76.45833
59,21/05/2021 22:32:34,3.185834,669.225,0.58,19.45833,65.05,26.98333,76.64167
60,21/05/2021 22:33:34,3.195833,671.7582,0.592,19.39166,65.24166,26.875,76.50834
61,21/05/2021 22:34:34,3.24,681.975,0.603,19.46667,65.775,26.85833,76.94167
62,21/05/2021 22:35:34,3.233333,681.3,0.615,19.50833,65.96667,26.93333,77.05001
63,21/05/2021 22:36:34,3.275455,688.7637,0.626,19.51818,66.00909,27.00909,76.99091
64,21/05/2021 22:37:34,3.256667,685.6417,0.637,19.66667,66.21667,27.025,77.45
65,21/05/2021 22:38:34,3.21,674.5333,0.649,19.65,66.075,27.06667,77.48333
66,21/05/2021 22:39:34,3.246667,683.0833,0.66,19.55,66.09167,27.08334,77.65834
67,21/05/2021 22:40:34,3.216666,677.1417,0.672,19.53333,65.8,27.12501,77.46667
68,21/05/2021 22:41:34,3.23,680.2333,0.683,19.54167,65.83334,27.15,77.54167
69,21/05/2021 22:42:34,3.22,678.3181,0.694,19.73636,67.31818,27.12728,77.28182
70,21/05/2021 22:43:34,3.235,681.0416,0.706,19.80834,67.87501,27.13334,77.58334
71,21/05/2021 22:44:34,3.256667,685.7166,0.717,19.875,68.25,27.16667,77.55001
72,21/05/2021 22:45:34,3.27,688.2917,0.729,19.925,68.09167,27.16667,77.47501
73,21/05/2021 22:46:34,3.25,683.5,0.74,19.93333,67.76667,27.2,77.54167
74,21/05/2021 22:47:34,3.245,682.6249,0.752,19.83333,67.3,27.20834,77.65834
75,21/05/2021 22:48:35,3.260909,685.5637,0.763,19.78182,67.03636,27.2,77.49091
76,21/05/2021 22:49:35,3.228333,680.5333,0.774,19.76667,67.15,27.28333,77.6
77,21/05/2021 22:50:35,3.2125,677.7166,0.786,19.74166,67.18333,27.275,77.93333
78,21/05/2021 22:51:35,3.200833,674.925,0.797,19.63334,66.70834,27.25,77.60833
79,21/05/2021 22:52:35,3.2325,681.2834,0.809,19.59167,66.63333,27.2,77.40001
80,21/05/2021 22:53:35,3.258333,685.1833,0.82,19.69167,66.91666,27.225,77.45
81,21/05/2021 22:54:35,3.269091,680.2454,0.831,19.72727,67.03637,27.2,77.36363
82,21/05/2021 22:55:35,3.260834,679.4167,0.843,19.69167,66.82499,27.19167,77.64167
83,21/05/2021 22:56:35,0.58,92.02499,0.844,19.86667,67.475,27.15,77.11666
84,21/05/2021 22:57:35,0.25,2.700001,0.844,21.01667,70.45834,27.05833,77.45
85,21/05/2021 22:58:35,0.25,2.666667,0.844,21.925,73.8,26.975,77.42501
86,21/05/2021 22:59:35,0.04,0,0.844,22.46667,76.84166,26.93333,77.575
87,21/05/2021 23:00:35,0.04,0,0.844,23,79.03636,26.92727,77.93636
88,21/05/2021 23:01:35,0.04,0,0.844,23.34167,80.61668,26.95833,77.93334
89,21/05/2021 23:02:35,0.04,0,0.844,23.61667,81.63334,26.95833,78.01667
90,21/05/2021 23:03:35,0.04,0,0.844,23.83333,82.49168,26.975,78.38334
91,21/05/2021 23:04:35,0.04,0,0.844,24.075,83,26.98333,78.23334
92,21/05/2021 23:05:35,0.04,0,0.844,24.26667,83.35,26.99167,78.20834
93,21/05/2021 23:06:35,0.04,0,0.844,24.43636,83.56364,27.06364,78.23637
94,21/05/2021 23:07:35,0.04,0,0.844,24.64167,83.60834,27.1,78.08334
95,21/05/2021 23:08:35,0.04,0,0.844,24.73333,83.53333,27.11667,77.90834
96,21/05/2021 23:09:35,0.04,0,0.844,24.825,83.50833,27.06667,77.70834
97,21/05/2021 23:10:35,0.04,0,0.844,24.9,83.20834,27.075,77.78334
98,21/05/2021 23:11:35,0.04,0,0.844,25.00833,83.10833,27.06667,77.58334
99,21/05/2021 23:12:35,0.04,0,0.844,25.08182,82.78181,27.15455,77.51818
