,Log_21052021_140939.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
1,21/05/2021 14:10:39,0,0,0,27.3,78.54166,29.12501,74.66666
2,21/05/2021 14:11:39,0.04416667,1.008333,0,27.4,77.76666,29.19167,74.08333
3,21/05/2021 14:12:39,0.26,3.075,0,27.48333,77.55833,29.3,73.93333
4,21/05/2021 14:13:39,0.26,2.766667,0,27.50833,77.33333,29.325,73.87499
5,21/05/2021 14:14:39,0.24,2.472727,0,27.58182,77.04546,29.38182,73.45454
6,21/05/2021 14:15:39,1.275833,243.9,0.004,27.61667,76.68333,29.37499,73.25
7,21/05/2021 14:16:39,3.066667,656.2416,0.015,27.5,76.31667,29.40833,72.975
8,21/05/2021 14:17:39,3.28,698.2167,0.027,26.95833,74.46667,29.425,72.71667
9,21/05/2021 14:18:39,3.404166,715.775,0.04,26.18333,71.55,29.525,72.35833
10,21/05/2021 14:19:39,3.419167,720.5833,0.052,25.26666,67.20834,29.55,72.06667
11,21/05/2021 14:20:39,2.999091,633.4999,0.062,24.34545,63.08181,29.60909,72.14545
12,21/05/2021 14:21:39,0.3183334,54.575,0.063,23.55833,59.78333,29.7,72.025
13,21/05/2021 14:22:39,0.2341667,32.09166,0.064,23.20833,59.06666,29.71667,71.84167
14,21/05/2021 14:23:39,0.2333333,32.59167,0.064,23.3,60.52501,29.7,71.88333
15,21/05/2021 14:24:39,0.235,32.375,0.065,23.525,62.66667,29.65,71.81667
16,21/05/2021 14:25:39,0.2309091,31.67273,0.065,23.77273,65.11819,29.62728,71.81818
17,21/05/2021 14:26:39,0.235,32.675,0.066,24.05,67.51666,29.6,71.75
18,21/05/2021 14:27:39,0.2341667,32.05,0.067,24.33333,69.75,29.55,71.66666
19,21/05/2021 14:28:39,0.2325,31.70833,0.067,24.575,71.74999,29.5,71.78333
20,21/05/2021 14:29:39,0.2333333,32.03333,0.068,24.8,73.56667,29.5,71.75834
21,21/05/2021 14:30:39,0.2341667,32.40833,0.068,24.99167,74.94167,29.45833,71.58334
22,21/05/2021 14:31:39,0.2309091,31.25455,0.069,25.17273,76.25455,29.4,71.60001
23,21/05/2021 14:32:39,0.235,31.94167,0.069,25.34167,77.64167,29.425,71.525
24,21/05/2021 14:33:39,0.2375,32.24167,0.07,25.5,78.68333,29.38333,71.475
25,21/05/2021 14:34:39,0.2333333,31.675,0.07,25.63334,79.51667,29.36666,71.41666
26,21/05/2021 14:35:39,0.2341667,31.65,0.071,25.75833,80.39167,29.39166,71.45834
27,21/05/2021 14:36:39,0.2375,32.41667,0.072,25.86667,81.075,29.36667,71.44167
28,21/05/2021 14:37:39,0.2318182,31.29091,0.072,25.97273,81.87273,29.38182,71.67273
29,21/05/2021 14:38:39,0.7691666,111.35,0.074,26.05,82.35833,29.36666,71.60834
30,21/05/2021 14:39:39,3.2225,668.8,0.085,26.05833,82.72499,29.36666,71.42501
31,21/05/2021 14:40:39,2.8,557.35,0.095,25.71667,82.1,29.4,71.73334
32,21/05/2021 14:41:39,2.045,292.3667,0.1,25.15833,80.29166,29.425,71.54167
33,21/05/2021 14:42:39,2.036667,291.525,0.105,24.64166,77.75,29.46667,71.55001
34,21/05/2021 14:43:39,1.504546,225.5364,0.109,24.26364,75.33636,29.54545,71.44547
35,21/05/2021 14:44:39,0.2808333,43.25,0.11,24,73.39166,29.55,71.30834
36,21/05/2021 14:45:39,0.2391667,32.525,0.11,23.98333,72.69167,29.525,71.15
37,21/05/2021 14:46:39,0.2333333,31.725,0.111,24.13334,73.15,29.5,71.475
38,21/05/2021 14:47:39,0.235,31.725,0.111,24.31667,74.00834,29.48333,71.2
39,21/05/2021 14:48:39,0.2358333,32.15,0.112,24.5,75.14166,29.475,71.16668
40,21/05/2021 14:49:39,0.2381818,31.99091,0.112,24.74545,75.89091,29.40909,71.14545
41,21/05/2021 14:50:39,0.235,31.58334,0.113,24.9,77.00833,29.40833,71.39167
42,21/05/2021 14:51:39,0.2366667,32.24167,0.113,25.09167,77.91666,29.38333,71.325
43,21/05/2021 14:52:39,0.2358333,31.775,0.114,25.26666,78.86668,29.375,71.29167
44,21/05/2021 14:53:39,0.2341667,31.30834,0.114,25.39166,79.71667,29.34166,71.325
45,21/05/2021 14:54:39,0.235,31.68333,0.115,25.55,80.39167,29.30833,71.60001
46,21/05/2021 14:55:39,0.2345455,31.81818,0.115,25.67273,81.20908,29.3,71.56364
47,21/05/2021 14:56:39,0.2341667,31.35,0.116,25.76666,82.04166,29.3,71.58334
48,21/05/2021 14:57:39,0.2358333,31.8,0.117,25.89166,82.50834,29.30833,71.88334
49,21/05/2021 14:58:39,1.964167,365.175,0.123,25.96667,82.925,29.29167,71.71667
50,21/05/2021 14:59:39,3.486666,727.2251,0.135,25.84167,82.94167,29.35833,71.60834
